created_at,text,likes,RTs,user_name
13/06/2021 22:48,#FRAUDEENMESA envió una chica revisen si es cierto https://t.co/5AB9urmBIr,0,0,05e53cd3f946415
13/06/2021 22:42,"@JNE_Peru @fidh_es Que se vayan a meter sus narices comunistas a Cuba, Nicaragua o Venezuela.
Esta no es su chacra.… https://t.co/x7dMEC9S8y",1,0,meilideyu
13/06/2021 22:35,"A ellos 2 el monumento ! 🙌💜

#FraudeEnMesa #RespetaMiVoto https://t.co/syPpeE20sU",1,0,Ceci_VasquezD
13/06/2021 22:34,Se han dado cuenta q los caviares han salido hoy con la narrativa de q supuestamente todo está consumado y q Castil… https://t.co/IHnGaNQQku,0,0,debonasandra
13/06/2021 22:33,"@fidh_es @OEA_oficial @CIDH @ComisionEuropea @UNIORE No buscamos MODIFICAR nada, buscamos que CADA VOTO CUENTE… y q… https://t.co/bRs1nBTeFq",0,0,micaelaelias
13/06/2021 22:30,"@LyA800 @rmapalacios @IDL_Rivera No te das todavía cuenta del fraude descarado.. q ganen uno u otro sí, pero legalm… https://t.co/ZtC88FbbbQ",0,0,Joseph_Fep
13/06/2021 22:29,No son hechos aislados. Es una organización creada para robarase los votos de la democracia. #FraudeEnMesa y la… https://t.co/ZpXwBI1eRj,1,0,Milenadovil
13/06/2021 22:29,@GiTototito @raulricharte81 @KeikoFujimori NO al #FraudeEnMesa de los rojos malditos,0,0,MarcTerec
13/06/2021 22:26,@fitoflores @halita123 La brigadier del colegio siempre sale mal parada #FraudeEnMesa #NuevasElecciones #Fraude https://t.co/QKXtea1Q1y,3,1,GeorgeG26475233
13/06/2021 22:23,"@ONPE_oficial @OEA_oficial Qué raro noo? donde gana Keiko se anulan,  pero si gaba Castillo suman........#FraudeEnMesa.",0,0,felipachi58
13/06/2021 22:19,@JNE_Peru @fidh_es Observadores de venezuela argentina brasil todos comunistas #FraudeEnMesa,0,0,james670803
13/06/2021 22:19,"@EdithG_7 Un plan siniestro...pero no pasarán!!
#FraudeEnMesa 
#RespetaMiVoto",0,0,GanozaMonica
13/06/2021 22:14,@exitosape Se Aceptaría con hidalguia..! Pero hay muchos indicios comprobables que se hubo #fraudeenMesa  y la… https://t.co/CqsN69ZrBQ,0,1,cruz23_r
13/06/2021 22:13,@ONPE_oficial @ONPE_oficial  no está respetando a los Peruanos. La mayoría estamos encontrando irregularidades… https://t.co/Jrp5SozQb3,6,5,AleGayoso2
13/06/2021 22:13,@JovenesKonKeiko @JNE_Peru Y que constituye entonces? Han cambiado todos los números que hacían ganadora a Keiko.… https://t.co/SmcW7SK8JE,0,0,LdF81076681
13/06/2021 22:12,@opinioncandela SI hubo #FraudeEnMesa y no solo ahora tb paso el 2016,0,0,MarcTerec
13/06/2021 22:12,@ExpresoPeru Ha interferido en las elecciones presidenciales cosa que esta penada. Fraude!! #FraudeEnMesa,0,0,LdF81076681
13/06/2021 22:12,"FUEGOOOO !!! 🔥🔥🔥

#FraudeEnMesa #RespetaMiVoto https://t.co/WIUMMMWsDW",0,0,Ceci_VasquezD
13/06/2021 22:11,"@rmapalacios Señora por favor, usted no es la ONPE para anunciar al ganador. Muestre imparcialidad. Me recuerda a l… https://t.co/uy7xZpw9aA",1,0,SilviaICastroV
13/06/2021 22:11,"@ONPE_oficial #OnpePerdieronCredibilidad..
El Perú ya reaccionó ustedes mienten y quieren vernos a todos los peruan… https://t.co/f5mrRWBWVl",1,1,FracardTv
13/06/2021 22:05,@JNE_Peru @fidh_es No hay resultados. Y lo que se ha visto y con evidencia es #FraudeEnMesa y el Fraude… https://t.co/6NTZXcbSIe,1,0,AleGayoso2
13/06/2021 22:04,@noakeiko @vvigilante Viniendo de ello no me sorprende #FraudeEnMesa https://t.co/cZiOlSEf3I,0,0,LADYRUIZ
13/06/2021 22:04,"@MIKI_Torres_ en la vista del angulo opuesto se ven los mas d 100,000 patriotas q fuimos a esta marcha dl NO al… https://t.co/a7LHc583Ju",0,0,MarcTerec
13/06/2021 22:03,El error material para la ONPE es que Fuerza popular tiene 173 votos. Ya no solo es #FraudeEnMesa es… https://t.co/2pfrQd0lMR,0,0,javier_marreros
13/06/2021 22:03,"Cacerolazo Nacional 🇵🇪🇵🇪🇵🇪
Hoy domingo 13 a las 8:00 pm
#PorLaLibertad #PorLaDemocracia #PorLaPaz #NoAlTerrorismo… https://t.co/Ss2nmJtzNl",0,0,Mily_Roxy
13/06/2021 22:02,"Se debería apelar esta acta ! Ojalá lo hayan hecho, yo entiendo que si. 

#FraudeEnMesa #RespetaMiVoto https://t.co/k3ocagBt6A",0,0,Ceci_VasquezD
13/06/2021 21:59,@Politica_ECpe @karembq Hay fraude. Ya es comprobado. Estas elecciones han sido irregulares. #FraudeEnMesa #JNE,0,0,Cecilia17135769
13/06/2021 21:59,@DorisAzores Todo aquel que sepa o haya actuado o prestado su persona para #FraudeEnMesa colabore explicando cómo s… https://t.co/ARtPRi5PWq,41,12,mariana30158
13/06/2021 21:59,"Y así hay quienes dicen que no hay fraude y que nada estaba planeado, todo lo contrario todo estaba coordinado desd… https://t.co/e6QOMoCMIk",1,0,apidesloalaluna
13/06/2021 21:56,"@mariacl00522118 @spaciolibre @pcorvetto @ONPE_oficial Tan mal que ha permitido el manipuleo de votos en mesa, y ah… https://t.co/dF4DzNBxVg",0,0,NANKARINA5
13/06/2021 21:53,"@KalibradoPj @elhigadodmarita La pregunta es cómo, y encima con Sagasti a la cabeza, son capaces de matar gente.
Se… https://t.co/DtRKhGZSwW",1,0,iby_ybi
13/06/2021 21:53,"Cuando en el Perú haya una ultra derecha como la de España, con tipos como Santiago Abascal y el partido VOX... ahi… https://t.co/nztRFHHBS4",2,1,Ceci_VasquezD
13/06/2021 21:53,@pamelav02439469 @JNE_Peru @ONPE_oficial @OEA_oficial @ONU_es @dw_espanol @CNNEE @AFPespanol si ésto no es ROBO de… https://t.co/nnaywZ4dbs,2,0,h_1789
13/06/2021 21:52,"Hasta la prensa internacional comunista como DW, The guardián, el país entre otros se quejan que Keiko no se rinda.… https://t.co/iH8Z5R57O9",1,0,ceci30660
13/06/2021 21:49,@JNE_Peru @fidh_es Que dices @JNE_Peru  ? Aaaa si lo que está diciendo con este twitt es que las marchas sigan y se… https://t.co/C5kjiRDVTu,0,0,FFabianferia27
13/06/2021 21:47,@mdealthaus @hugonopo NO ha ganado. Hay que resolver el #fraudeenmesa antes de que se proclame ganador,0,0,AndreaVotoBerna
13/06/2021 21:47,"@Frospigliosi Porque le conviene... 
Pero no sabe que nosotros no vamos a parar ! 
Nos han estado viendo la cara co… https://t.co/syKOPlmSS4",4,1,MQGrizel
13/06/2021 21:46,"@justicierope @elhigadodmarita Es en serio? Increíble!!! 
#ComunismoNuncaMas 
#TerrorismoNuncaMas 
#Cerroncomunista
#FraudeEnMesa",1,0,iby_ybi
13/06/2021 21:46,"#FraudeEnMesa
Miren así consuma la @ONPE_oficial el #fraude RENUNCIA #Crovetto! https://t.co/UVTGLmmQGo",0,0,MilagroHuamanLu
13/06/2021 21:46,"@Gestionpe @MuniLima de verdad? A lo mejor me equivoco, dígame señor alcalde si esa fue su posición cuando hicieron… https://t.co/6ydIFp8if0",0,0,roxinthego
13/06/2021 21:45,@Frospigliosi Por qué motivos la FEDERACIÓN DE DERECHOS HUMANOS @fidh_es tiene q intervenir en el Proceso Electoral… https://t.co/8AgnUXFKEg,0,1,skorpiona_peru
13/06/2021 21:44,"Ustedes, “veedores garantes” deben y tienen que denunciar que estas elecciones están viciadas.  No solo por el… https://t.co/bslvekG7lm",9,7,Milenadovil
13/06/2021 21:42,"Primero vacancia a Sagasti y luego bajarse la cuestión de confianza, en ese orden. Se tiene que empoderar al congre… https://t.co/QuVNS9VNlG",0,0,Ceci_VasquezD
13/06/2021 21:42,@rosangellafp @ONPE_oficial Con el debido respeto Srs. @ONPE_oficial su institucion no está siendo diligente en el… https://t.co/zAM6WTByhS,0,0,roxinthego
13/06/2021 21:42,@noticiAmerica Se tiene que investigar el FRAUDE!!! #FraudeEnMesa,1,0,Cecilia17135769
13/06/2021 21:41,"@canalN_ El Peru necesita saber la verdad 🇵🇪 Vamos Perú 🇵🇪
#cnnespañol #fraudeelectoral2021 #NosUnimosONosHundimos… https://t.co/5WwUYiIeJA",0,0,luzgonzalesb
13/06/2021 21:39,"@elvisocc Lo que más me apena es haber visto a los mayores de edad ir a sufragar en andadores, silla de ruedas, en… https://t.co/yi3mZo71Ko",4,0,skorpiona_peru
13/06/2021 21:38,"Así es ! Los comunistas queriendo determinar lo que es ""democracia"" o Estado de Derecho en el Perú, ya es el colmo.… https://t.co/XOOWFfWuvb",0,0,Ceci_VasquezD
13/06/2021 21:37,@MayLevis15 @Alm_Montoya Demasiadas pruebas de injerencia en el desarrollo de un proceso electoral que muestras ser… https://t.co/7PERg8efrB,8,1,NANKARINA5
13/06/2021 21:36,@Alm_Montoya @manarellidiego Cada vez más confirmaciones de q este proceso está manchado y se ha desarrollado con m… https://t.co/t2vt1xIgXX,9,5,NANKARINA5
13/06/2021 21:34,Invito a todos a los que tanto le creen a Castillo que Cerrón no será ni portero a revisar la plataforma electoral… https://t.co/7qw4f8V7JC,0,0,libertadenperu
13/06/2021 21:34,"Para los rojetes tontos útiles que decían: ""Gobernará Castillo, no Cerrón"" 👇 Pedazo de giles 😒 #FraudeEnMesa… https://t.co/uNDWhdgCyh",1,0,Ceci_VasquezD
13/06/2021 21:32,@elvisocc Este proceso electoral está viciado desde sus inicios! O se solicita auditoría TOTAL o que lo declaren NU… https://t.co/sxStOAkCvD,3,1,skorpiona_peru
13/06/2021 21:31,"@bbcmundo Castillo es el muñeco el comunista de  Cerron es el titiritero! 
#FraudeEnMesa  apañado por el gobierno d… https://t.co/RfV2bGS2xK",2,0,loyocm
13/06/2021 21:31,@JNE_Peru PERDIERON TOTAL CREDIBILIDAD Y TRANSPARENCIA EN EL PROCESO DE ELECCIONES. EL CANDIDATO QUE NOMBREN SERÁ I… https://t.co/B70a6kuVMW,5,2,E062020
13/06/2021 21:30,"NUESTRA TOLERANCIA...
NUNCA FUE NI SERÁ SINÓNIMO DE...
TEMOR, INCAPACIDAD Y/O DEBILIDAD.
¡¡¡UNID@S EN DEMOCRACIA Y… https://t.co/HeRQnHcg8u",2,0,CarlosAdelCT
13/06/2021 21:24,"LIBERTARIOS HUANCAYO - ENTREVISTAS
#SOSPerú
#LibertadDeExpresion
#libertarios
#FraudeEnMesa
#Urgente 
#Junin… https://t.co/S2pwzTlwiu",0,0,LIBERTARIOSHUA2
13/06/2021 21:22,"@Shasiel @ExpresoPeru Ipsos dio por ganadora a Keiko en la boca de urna, a Castillo en el conteo rápido cuando ya s… https://t.co/PWdJJkuhKQ",0,0,Olivia_Oh_Lima
13/06/2021 21:19,@UniversidadPe Con fraude no!!  Grosera manipulación de votos en mesa ante el silencio de las instituciones.  Proce… https://t.co/3oY2C4wNZo,0,0,NANKARINA5
13/06/2021 21:16,"#Cerron como 2do vicepresidente!!!!
Difundir!!! 👇
#NoAlFraude
#FraudeEnMesa
#RespetaMiVoto 
#ConMiVotoNoTeMetas… https://t.co/iuprupb1LL",0,1,Mildreth_Yuasa
13/06/2021 21:15,Ya sabíamos lo que iba a pasar; cosas como esta… #FraudeEnMesa #RespetaMiVotoJNE  @KeikoFujimori @rosangellafp… https://t.co/wWHcS8ZaG0,0,0,mrlonely_soul
13/06/2021 21:13,¿Ahora acatan lo que el padre morado les dice pero cuando quedaron mudos por los psicosociales de Vizcarra en Novie… https://t.co/CqELH2PT1r,0,0,felipesguitar
13/06/2021 21:12,"En vez de radicalizarse en torno a un “fraude” que no es, deberíamos meter presión para el que no se radicalice sea… https://t.co/htBtDKSQZu",2,0,Jorgesaull
13/06/2021 21:12,"@JNE_Peru @fidh_es CAREPALOS #MiVotoSeRespeta , #SOSPeru , #ComunismoNuncaMás , #fraudeENmesa",0,0,reyna_zeballos
13/06/2021 21:09,"Unidos todos, les haremos frente al Comunismo...
No nos dejaremos vencer...
Pelearemos hasta el final...
No nos rob… https://t.co/5k2L8EZTva",3,1,Danny_oficial1
13/06/2021 21:09,"Hacen pésimo los DIARIOS del exterior en asumir lo que sus CORRESPONSALES sesgados les dicen, desinformando a la op… https://t.co/1cvtX3ivFl",37,14,3001rafa
13/06/2021 21:09,"@Claux58032843 Que asco de personaje, @ONPE_oficial  NO AL #fraudeENmesa, #SOSPeru",2,1,reyna_zeballos
13/06/2021 21:08,Por qué motivos la FEDERACIÓN DE DERECHOS HUMANOS @fidh_es tiene q intervenir en el Proceso Electoral del Perú?En e… https://t.co/FyTZ9M5giN,5,2,skorpiona_peru
13/06/2021 21:07,@JNE_Peru @fidh_es YA TIENEN UN GANADOR? #FraudeEnMesa,0,0,cpr8_5
13/06/2021 21:07,"@agusantonetti Hay mucho poder detrás, pero no nos rediremos, hasta las ultimas lucharemos, por nuestro país, por e… https://t.co/QpusDgmij8",0,0,estrella05_04
13/06/2021 21:04,@DinaErcilia Pido a Dios que entre en sus corazones y acepten que hicieron fraude #LosMuertosNoVotan #fraudeenmesa,2,1,marthitaluna
13/06/2021 21:03,"@fidh_es @OEA_oficial @CIDH @ComisionEuropea @UNIORE Progres social confusos como FIDH deben dejar de opinar
En Per… https://t.co/i1h65uhrc4",1,0,delro3000
13/06/2021 21:03,"Quisiera comentar la copa europea.
Pero quizá no sea políticamente correcto, cuando el país en el q nací está a pun… https://t.co/jXgcPWZX9X",7,2,PabloUrri
13/06/2021 20:58,#FraudeEnMesa Todos contra el fraude comunista. #Cacerolazo #MarchaPorLaDemocracia https://t.co/4qzrjHyTfA,1,0,felipesguitar
13/06/2021 20:58,@jfowks 😅😅 y tú persigues a los que queremos evitar el #FraudeEnMesa,1,0,annie5anlie
13/06/2021 20:55,"@MadeleineOster3 @Desenfriolito69 🤬🤬Todo friamante calculado,  NO NOS VERAN LA CARA!!!! 😡LA MAFIA COMUNISTA, no sab… https://t.co/im7vzRjWTD",1,0,GeorgeG26475233
13/06/2021 20:52,Más del 50% de peruanos estamos vigilantes: “voto a voto” Queremos ver televisadas la revisión de actas impugnadas!… https://t.co/QXfao5w8EV,0,1,op_pili
13/06/2021 20:48,"@AlvaroVargasLl @KeikoFujimori aquí saldremos a las calles , pero no aceptaremos un país comunista que se instale c… https://t.co/NfrSCAQn6j",0,0,lucysulca2810
13/06/2021 20:46,"@JaimeChincha Jaime, esto significa que apoyas estas elecciones aún cuando está demostrado el #FraudeEnMesa el voto… https://t.co/crKrEUhgJX",66,1,NOECRISHELL
13/06/2021 20:46,"Exigimos soberanía, bastante dańo han hechos los defensores de derechos humanos liberando terroristas en el Perú. Q… https://t.co/RMVA5TIdv6",0,0,felipesguitar
13/06/2021 20:45,"A esta hora del día, #PedroCastillo al 100% de actas procesadas y 99.93% de actas contabilizadas tiene una ventaja… https://t.co/BiBz2NYOng",151,73,3001rafa
13/06/2021 20:43,"Jefe de ONPE Piero Corveto fue Observador Internacional en elecciones  Venezuela 2013
La oposición denuncio fraude,… https://t.co/dQOBdCUCQf",0,0,Mily_Roxy
13/06/2021 20:41,@j_gonzalezof claramente informando acerca del #fraudeenmesa en @RPPNoticias informe preliminar de @OEA_oficial no… https://t.co/S5al9wmEWE,0,0,Liberta91413135
13/06/2021 20:41,Estuvimos vigilando y de que sirvió en la digitacion a través de los comunistas contratados por la ONPE nos borraro… https://t.co/syIn1onp8t,0,0,ceci30660
13/06/2021 20:41,"@Gestionpe #RespetaMiVoto
#FraudeEnMesa
#NoAlComunismoEnElPeru

Multitudinaria marcha 

Esto recién comienza, !NO A… https://t.co/r69bL38RnA",2,1,CarAma123
13/06/2021 20:37,#MarchaPorLaDemocracia Peruanos en el extranjero presente! #NoAlComunismo #FraudeEnMesa https://t.co/ExFkdrAd4D,1,0,felipesguitar
13/06/2021 20:36,"@exitosape Más respeto al pueblo, nosotros  queremos que se respete el voto, y está Clarito que hubo. #fraudeenmesa… https://t.co/VjDqsV4WYi",2,0,MaggybMaggy
13/06/2021 20:36,"Fascista quién? 🎼 fascista tú 🎼 fascista yo 🎼fascista ¡JAJA!🎼
#NuevasElecciones 
#ChapaConTuCaviar 
#RespetaMiVoto… https://t.co/btWgYoJGGJ",47,4,leandroRuiz96
13/06/2021 20:33,Alguien sabe de que se trata el audio bomba que saldrá mañana? #Cerrón #NuevasElecciones #FraudeEnMesa,1,0,VictorM83998494
13/06/2021 20:32,"Sector más fuerte de la economía, igual q la prensa se PROSTITUYEN, no tienen ese sentimiento patriótico del resto… https://t.co/bOH7XENGtK",12,5,gildatrkovic
13/06/2021 20:26,"@DinaErcilia No al fraude comunista, quieren imponernos un comunista con fraude!!! #FraudeEnMesa #FraudeDeDiseño #FraudeDigital",8,2,eternidadx
13/06/2021 20:17,@Betoluis123 Este proceso electoral está viciado desde sus inicios! O se solicita auditoría TOTAL o que lo declaren… https://t.co/vjkMZtFMnj,1,0,skorpiona_peru
13/06/2021 20:04,@HDeSotoPeru Pero las evidencias de un posible #FraudeEnMesa amañando por el #ForoDeSaoPaulo no va a servir para lo… https://t.co/mzBKEOSmoc,21,3,Juaniperezc
13/06/2021 20:02,"Por favor!!! Me molesta las tonteras de personas como tú hacen, acusar de racismo por no aceptar a una persona sin… https://t.co/TcTxxFMyOj",1,1,SILVYTA27
13/06/2021 20:00,@DorisAzores @congresoperu @ONPE_oficial Lo único claro es que algo está PODRIDO en este irregular proceso electora… https://t.co/BIYrHbyUhd,2,0,skorpiona_peru
13/06/2021 20:00,"@ONPE_oficial  te estamos observando todo! Sácate el Sombrero ☝️

 No nos van a seguir robando los votos de la demo… https://t.co/iyUHLazw8i",0,0,AleGayoso2
13/06/2021 19:58,"@gildatrkovic @JNE_Peru @ONPE_oficial @Poder_Judicial_ Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la g… https://t.co/SQ9VK7MDz6",0,0,MrSalsa2015
13/06/2021 19:58,"@YorryWarthon @Agata70837779 Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una… https://t.co/nJAacqwNWT",0,0,MrSalsa2015
13/06/2021 19:57,"@ivancio4 @OleFernandini Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una tir… https://t.co/SPkt9DEoPr",0,0,MrSalsa2015
13/06/2021 19:57,"@MilagrosLeivaG @willaxtv Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una ti… https://t.co/8Y053XPSY7",0,0,MrSalsa2015
13/06/2021 19:56,"'Honorable corrupto' 
Alcahuete de las porquerías de lagartoDelincuente en @JNE_Peru 
@ONPE_oficial… https://t.co/K2Y8cm83ta",25,15,gildatrkovic
13/06/2021 19:56,LOS OPERADORES COMUNISTAS ESTUVIERON DIRIGIENDO EL FRAUDE SISTEMÁTICO. #FraudeEnMesa https://t.co/TxKzAklLSi https://t.co/G88qiZFZwQ,0,0,noemiso06621634
13/06/2021 19:55,"@HDeSotoPeru Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una tira de deshone… https://t.co/eKsP06MXrv",0,0,MrSalsa2015
13/06/2021 19:55,"@charovargas_ Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una tira de deshon… https://t.co/wTGRefhgl3",1,0,MrSalsa2015
13/06/2021 19:54,"@cesarcombina @DinaErcilia Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una t… https://t.co/MgUFeVpUJE",5,3,MrSalsa2015
